"itempicture",Name,Unit Price,"TotalQuantity",Quantity Florida,"QuantityNew Jersey","***PAINTED ITEMSFlyDeltaKaleido LowKaleido HighCobraLuckyBobinoThalis","NYC COBRA HAS MIDDLE(STRAIGHT PIECE)FLORIDA HAS CORNER AS AMIDDLE PIECE",item,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,Unnamed: 4,Unnamed: 5,Quantity,Unnamed: 6,***PAINTED ITEMS
,velours dark blue,$          220.00,18.0,6.0,12.0,,,,,,,,,,,,,
,velours jade,$          220.00,18.0,7.0,11.0,,,,,,,,,,,,,
,velours aqua blue,$          220.00,12.0,4.0,8.0,,,,,,,,,,,,,
,barok black FOR SALE,$          220.00,4.0,2.0,2.0,,,,,,,,,,,,,
,barok taupe FOR SALE,$          220.00,4.0,0.0,4.0,,,,,,,,,,,,,
,barok blue FOR SALE,$           220.00,4.0,0.0,4.0,,,,,,,,,,,,,
,barok gold FOR SALE,$          220.00,4.0,2.0,2.0,,,,,,,,,,,,,
,english rose,$          220.00,24.0,10.0,14.0,,,,,,,,,,,,,
,xani (LEATHER),$          220.00,20.0,4.0,16.0,,,,,,,,,,,,,
,bo 2.0 white single,$          200.00,129.0,79.0,50.0,,,,,,,,,,,,,
,black cover,$          200.00,80.0,40.0,40.0,,,,,,,,,,,,,
,orange cover,$          200.00,21.0,15.0,6.0,,,,,,,,,,,,,
,olive cover,$           200.00,15.0,10.0,5.0,,,,,,,,,,,,,
,beig cover,$           200.00,26.0,21.0,5.0,,,,,,,,,,,,,
,yellow cover,$          200.00,10.0,10.0,0.0,,,,,,,,,,,,,
,gold cover,$           200.00,6.0,6.0,,,,,,,,,,,,,,
,silver cover,$          200.00,,,,,,,,,,,,,,,,
,pink cover,$           200.00,6.0,6.0,0.0,,,,,,,,,,,,,
,blue cover,$           200.00,10.0,10.0,0.0,,,,,,,,,,,,,
,koo white,$           200.00,93.0,30.0,63.0,,,,,,,,,,,,,
,grey cover,$           200.00,107.0,45.0,62.0,,,,,,,,,,,,,
,pink cover,$           200.00,40.0,19.0,21.0,,,,,,,,,,,,,
,black cover,$           200.00,107.0,45.0,62.0,,,,,,,,,,,,,
,blue cover,$           200.00,59.0,38.0,21.0,,,,,,,,,,,,,
,red cover,$           200.00,8.0,4.0,4.0,,,,,,,,,,,,,
,olive cover,$           200.00,4.0,4.0,0.0,,,,,,,,,,,,,
,yellow cover,$          200.00,13.0,5.0,8.0,,,,,,,,,,,,,
,orange cover,$          200.00,14.0,5.0,9.0,,,,,,,,,,,,,
,patchouli,$          188.00,14.0,8.0,6.0,,,,,,,,,,,,,
,provence,$           195.00,21.0,15.0,6.0,,,,,,,,,,,,,
,cottage,$           188.00,4.0,0.0,4.0,,,,,,,,,,,,,
,fairy,$           220.00,8.0,4.0,4.0,,,,,,,,,,,,,
,bloom,$           188.00,6.0,2.0,4.0,,,,,,,,,,,,,
,pasto,$          188.00,12.0,0.0,12.0,,,,,,,,,,,,,
,adirondak white,$           220.00,2.0,0.0,0.0,,,,,,,,,,,,,
,adirondak natural,$          220.00,2.0,0.0,0.0,,,,,,,,,,,,,
,grass chair,$           188.00,2.0,,,,,,,,,,,,,,,
,jetson,$           350.00,4.0,2.0,2.0,,,,,,,,,,,,,
,aviator chair,$          300.00,6.0,2.0,4.0,,,,,,,,,,,,,
,aviator ball,$          220.00,7.0,4.0,3.0,,,,,,,,,,,,,
,aviator stool,$          100.00,10.0,7.0,3.0,,,,,,,,,,,,,
,aviator egg,$          350.00,0.0,0.0,0.0,,,,,,,,,,,,,
,casting white,$          188.00,17.0,11.0,6.0,,,,,,,,,,,,,
,casting black,$           188.00,18.0,8.0,10.0,,,,,,,,,,,,,
,flow grey,$          188.00,16.0,13.0,3.0,,,,,,,,,,,,,
,flow white,$           188.00,43.0,26.0,17.0,,,,,,,,,,,,,
,flow black,$           188.00,34.0,18.0,16.0,,,,,,,,,,,,,
,hymalaya,$             80.00,18.0,6.0,12.0,,,,,,,,,,,,,
,karma,$             80.00,2.0,2.0,0.0,,,,,,,,,,,,,
,harmony,$             80.00,6.0,0.0,6.0,,,,,,,,,,,,,
,azul,$             80.00,5.0,5.0,1.0,,,,,,,,,,,,,
,janis,$             80.00,13.0,5.0,9.0,,,,,,,,,,,,,
,sol,$             80.00,8.0,6.0,2.0,,,,,,,,,,,,,
,camel,$             80.00,38.0,22.0,16.0,,,,,,,,,,,,,
,dawn,$             80.00,4.0,2.0,2.0,,,,,,,,,,,,,
,bhutan,$             80.00,10.0,0.0,10.0,,,,,,,,,,,,,
,nepal,$             80.00,2.0,0.0,2.0,,,,,,,,,,,,,
,kashmir,$             80.00,10.0,0.0,10.0,,,,,,,,,,,,,
,luigi,$           320.00,4.0,2.0,2.0,,,,,,,,,,,,,
,romeo,$           220.00,23.0,13.0,10.0,,,,,,,,,,,,,
,lotus,$           150.00,66.0,36.0,30.0,,,,,,,,,,,,,
,face chair black,$          450.00,1.0,1.0,0.0,,,,,,,,,,,,,
,face chair red,$          450.00,2.0,1.0,1.0,,,,,,,,,,,,,
,face chair white,$           450.00,4.0,2.0,2.0,,,,,,,,,,,,,
,tongue chair,$          150.00,25.0,12.0,13.0,,,,,,,,,,,,,
,bubble chair clear,$          490.00,13.0,6.0,7.0,,,,,,,,,,,,,
,cocoon chair white,$          490.00,15.0,8.0,7.0,,,,,,,,,,,,,
,cocoon chair black,$          490.00,6.0,2.0,4.0,,,,,,,,,,,,,
,hand chair,$           250.00,4.0,2.0,2.0,,,,,,,,,,,,,
,posh black,$          188.00,,0.0,9.0,,,,,,,,,,,,,
,posh clear (colors paint to order),$220,36.0,7.0,20.0,,,,,,,,,,,,,
,Lime,,,,,,,,,,,,,,,,,
,red,,,,,,,,,,,,,,,,,
,purple,,,,,,,,,,,,,,,,,
,pink,,,,,,,,,,,,,,,,,
,orange,,,,,,,,,,,,,,,,,
,Mister Bean FRAME,$          120.00,100.0,,,,,,,,,,,,,,,
,Green Oliver cover,,50.0,,,,,,,,,,,,,,,
,Pink cover,,50.0,,,,,,,,,,,,,,,
,Purple cover,,50.0,,,,,,,,,,,,,,,
,Characoal cover,,50.0,,,,,,,,,,,,,,,
,Blue cover,,50.0,,,,,,,,,,,,,,,
,Black cover,,50.0,,,,,,,,,,,,,,,
,Off white cover,,50.0,,,,,,,,,,,,,,,
,bean bag white,$             80.00,20.0,6.0,14.0,,,,,,,,,,,,,
,bean bag black,$             80.00,25.0,5.0,20.0,,,,,,,,,,,,,
